test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p15,0.5364341085271318,0.509031198686371,0.4122340425531915,0.6652360515021459,0.6052960540022501,"[[191 221]
 [ 78 155]]",2
p16,0.6956521739130435,0.5899581589958159,0.4684385382059801,0.7966101694915254,0.8083935203668082,"[[307 160]
 [ 36 141]]",2
p17,0.6117824773413897,0.6783479349186484,0.6467780429594272,0.7131578947368421,0.6499906681597611,"[[134 148]
 [109 271]]",2
p18,0.5654853620955316,0.04081632653061225,0.022222222222222223,0.25,0.43896666666666667,"[[361 264]
 [ 18   6]]",2
p19,0.4938461538461538,0.42179261862917394,0.47244094488188976,0.38095238095238093,0.48107083629471686,"[[201 134]
 [195 120]]",2
p20,0.6467315716272601,0.5955414012738854,0.6254180602006689,0.5683890577507599,0.7091107474086197,"[[278 112]
 [142 187]]",2
p21,0.57856093979442,0.6073871409028728,0.6873065015479877,0.5441176470588235,0.570800114917762,"[[172 101]
 [186 222]]",2
p22,0.5524475524475524,0.19191919191919193,0.12063492063492064,0.4691358024691358,0.5733146395606964,"[[357 277]
 [ 43  38]]",2
p23,0.45964432284541723,0.5068664169787765,0.7490774907749077,0.38301886792452833,0.5417065615319628,"[[133  68]
 [327 203]]",2
p24,0.6005398110661269,0.6864406779661018,0.72,0.6558704453441295,0.6174785687357602,"[[121 126]
 [170 324]]",2
p25,0.6220689655172413,0.6575000000000001,0.7492877492877493,0.5857461024498887,0.705428327039153,"[[188  88]
 [186 263]]",2
p26,0.623229461756374,0.6963470319634704,0.6630434782608695,0.7331730769230769,0.6358421750663129,"[[135 155]
 [111 305]]",2
p27,0.5783783783783784,0.5806451612903226,0.75,0.47368421052631576,0.6641107610575736,"[[212  72]
 [240 216]]",2
p29,0.3963011889035667,0.43510506798516685,0.9411764705882353,0.2829581993569132,0.6869119923782303,"[[124  11]
 [446 176]]",2
p31,0.704516129032258,0.7104930467762325,0.7827298050139275,0.6504629629629629,0.7973727189288413,"[[265  78]
 [151 281]]",2
p1,0.45614035087719296,0.6211812627291242,1.0,0.4505169867060561,0.9219244566364212,"[[  7   0]
 [372 305]]",3
p2,0.6591928251121076,0.7710843373493976,0.8767123287671232,0.6881720430107527,0.6355226193935872,"[[ 57  54]
 [174 384]]",3
p3,0.5928338762214984,0.6257485029940119,0.6551724137931034,0.5988538681948424,0.6393252959939449,"[[155 110]
 [140 209]]",3
p4,0.6110210696920584,0.732142857142857,0.8986301369863013,0.6177024482109228,0.6383085884465467,"[[ 49  37]
 [203 328]]",3
p5,0.6872037914691943,0.5695652173913044,0.47985347985347987,0.7005347593582888,0.7670679360207189,"[[304 142]
 [ 56 131]]",3
p6,0.6651017214397497,0.7161803713527852,0.645933014354067,0.8035714285714286,0.7162010843941536,"[[155 148]
 [ 66 270]]",3
p7,0.6304347826086957,0.7225244831338411,0.7904761904761904,0.6653306613226453,0.6406740181934549,"[[103  88]
 [167 332]]",3
p8,0.651840490797546,0.6119658119658119,0.7649572649572649,0.50997150997151,0.7601253182648531,"[[246  55]
 [172 179]]",3
p9,0.6585365853658537,0.6696165191740413,0.7992957746478874,0.5761421319796954,0.7369802766691207,"[[205  57]
 [167 227]]",3
p10,0.6613672496025437,0.6106032906764167,0.49554896142433236,0.7952380952380952,0.7969257870212524,"[[249 170]
 [ 43 167]]",3
p11,0.6236391912908242,0.717289719626168,0.9777070063694268,0.566420664206642,0.8032406561689378,"[[ 94   7]
 [235 307]]",3
p12,0.608359133126935,0.4628450106157113,0.346031746031746,0.6987179487179487,0.6903192046049187,"[[284 206]
 [ 47 109]]",3
p13,0.6086956521739131,0.5489260143198091,0.4474708171206226,0.7098765432098766,0.7015403253721011,"[[179 142]
 [ 47 115]]",3
p14,0.6571879936808847,0.5544147843942505,0.5172413793103449,0.5973451327433629,0.6861233719640798,"[[281 126]
 [ 91 135]]",3
p15,0.5364341085271318,0.509031198686371,0.4122340425531915,0.6652360515021459,0.6052960540022501,"[[191 221]
 [ 78 155]]",3
p16,0.6956521739130435,0.5899581589958159,0.4684385382059801,0.7966101694915254,0.8083935203668082,"[[307 160]
 [ 36 141]]",3
p17,0.6117824773413897,0.6783479349186484,0.6467780429594272,0.7131578947368421,0.6499813363195222,"[[134 148]
 [109 271]]",3
p18,0.5654853620955316,0.04081632653061225,0.022222222222222223,0.25,0.4392666666666667,"[[361 264]
 [ 18   6]]",3
p19,0.4938461538461538,0.42179261862917394,0.47244094488188976,0.38095238095238093,0.48107083629471686,"[[201 134]
 [195 120]]",3
p20,0.6467315716272601,0.5955414012738854,0.6254180602006689,0.5683890577507599,0.7091185410334346,"[[278 112]
 [142 187]]",3
p21,0.57856093979442,0.6073871409028728,0.6873065015479877,0.5441176470588235,0.5708046038928392,"[[172 101]
 [186 222]]",3
p22,0.5524475524475524,0.19191919191919193,0.12063492063492064,0.4691358024691358,0.573275694201036,"[[357 277]
 [ 43  38]]",3
p23,0.45964432284541723,0.5068664169787765,0.7490774907749077,0.38301886792452833,0.5417065615319628,"[[133  68]
 [327 203]]",3
p24,0.6005398110661269,0.6864406779661018,0.72,0.6558704453441295,0.6174744709796915,"[[121 126]
 [170 324]]",3
p25,0.6220689655172413,0.6575000000000001,0.7492877492877493,0.5857461024498887,0.7053516671508344,"[[188  88]
 [186 263]]",3
p26,0.623229461756374,0.6963470319634704,0.6630434782608695,0.7331730769230769,0.6358421750663128,"[[135 155]
 [111 305]]",3
p27,0.5783783783783784,0.5806451612903226,0.75,0.47368421052631576,0.6641184828267853,"[[212  72]
 [240 216]]",3
p29,0.3963011889035667,0.43510506798516685,0.9411764705882353,0.2829581993569132,0.6869239013933548,"[[124  11]
 [446 176]]",3
p31,0.704516129032258,0.7104930467762325,0.7827298050139275,0.6504629629629629,0.7973997138537954,"[[265  78]
 [151 281]]",3
p1,0.45614035087719296,0.6211812627291242,1.0,0.4505169867060561,0.9219244566364212,"[[  7   0]
 [372 305]]",4
p2,0.6591928251121076,0.7710843373493976,0.8767123287671232,0.6881720430107527,0.6355226193935872,"[[ 57  54]
 [174 384]]",4
p3,0.5928338762214984,0.6257485029940119,0.6551724137931034,0.5988538681948424,0.6393361085581446,"[[155 110]
 [140 209]]",4
p4,0.6110210696920584,0.732142857142857,0.8986301369863013,0.6177024482109228,0.6383085884465467,"[[ 49  37]
 [203 328]]",4
p5,0.6872037914691943,0.5695652173913044,0.47985347985347987,0.7005347593582888,0.767127886621424,"[[304 142]
 [ 56 131]]",4
p6,0.6651017214397497,0.7161803713527852,0.645933014354067,0.8035714285714286,0.7162010843941536,"[[155 148]
 [ 66 270]]",4
p7,0.6304347826086957,0.7225244831338411,0.7904761904761904,0.6653306613226453,0.6406845103820206,"[[103  88]
 [167 332]]",4
p8,0.651840490797546,0.6119658119658119,0.7649572649572649,0.50997150997151,0.7601442485163414,"[[246  55]
 [172 179]]",4
p9,0.6585365853658537,0.6696165191740413,0.7992957746478874,0.5761421319796954,0.7369221529042509,"[[205  57]
 [167 227]]",4
p10,0.6613672496025437,0.6106032906764167,0.49554896142433236,0.7952380952380952,0.7969541993408342,"[[249 170]
 [ 43 167]]",4
p11,0.6236391912908242,0.717289719626168,0.9777070063694268,0.566420664206642,0.8032497899236418,"[[ 94   7]
 [235 307]]",4
p12,0.608359133126935,0.4628450106157113,0.346031746031746,0.6987179487179487,0.6903584510727369,"[[284 206]
 [ 47 109]]",4
p13,0.6086956521739131,0.5489260143198091,0.4474708171206226,0.7098765432098766,0.7015499403869082,"[[179 142]
 [ 47 115]]",4
p14,0.6571879936808847,0.5544147843942505,0.5172413793103449,0.5973451327433629,0.6860853210410733,"[[281 126]
 [ 91 135]]",4
p15,0.5364341085271318,0.509031198686371,0.4122340425531915,0.6652360515021459,0.6052960540022501,"[[191 221]
 [ 78 155]]",4
p16,0.6956521739130435,0.5899581589958159,0.4684385382059801,0.7966101694915254,0.8083935203668082,"[[307 160]
 [ 36 141]]",4
p17,0.6117824773413897,0.6783479349186484,0.6467780429594272,0.7131578947368421,0.6499813363195222,"[[134 148]
 [109 271]]",4
p18,0.5654853620955316,0.04081632653061225,0.022222222222222223,0.25,0.4391333333333333,"[[361 264]
 [ 18   6]]",4
p19,0.4938461538461538,0.42179261862917394,0.47244094488188976,0.38095238095238093,0.48113717128642497,"[[201 134]
 [195 120]]",4
p20,0.6467315716272601,0.5955414012738854,0.6254180602006689,0.5683890577507599,0.70909516015899,"[[278 112]
 [142 187]]",4
p21,0.57856093979442,0.6073871409028728,0.6873065015479877,0.5441176470588235,0.5708090928679164,"[[172 101]
 [186 222]]",4
p22,0.5524475524475524,0.19191919191919193,0.12063492063492064,0.4691358024691358,0.5733146395606964,"[[357 277]
 [ 43  38]]",4
p23,0.45964432284541723,0.5068664169787765,0.7490774907749077,0.38301886792452833,0.5417159485590913,"[[133  68]
 [327 203]]",4
p24,0.6005398110661269,0.6864406779661018,0.72,0.6558704453441295,0.6174908620039666,"[[121 126]
 [170 324]]",4
p25,0.6220689655172413,0.6575000000000001,0.7492877492877493,0.5857461024498887,0.7054081533843323,"[[188  88]
 [186 263]]",4
p26,0.623229461756374,0.6963470319634704,0.6630434782608695,0.7331730769230769,0.6358421750663129,"[[135 155]
 [111 305]]",4
p27,0.5783783783783784,0.5806451612903226,0.75,0.47368421052631576,0.6641184828267853,"[[212  72]
 [240 216]]",4
p29,0.3963011889035667,0.43510506798516685,0.9411764705882353,0.2829581993569132,0.6869239013933548,"[[124  11]
 [446 176]]",4
p31,0.704516129032258,0.7104930467762325,0.7827298050139275,0.6504629629629629,0.7973356009070295,"[[265  78]
 [151 281]]",4
