test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p11,0.7838258164852255,0.4326530612244898,0.3271604938271605,0.6385542168674698,0.8164586919104991,"[[451 109]
 [ 30  53]]",1
p12,0.8157894736842105,0.8215892053973013,0.9013157894736842,0.7548209366391184,0.8457008244994111,"[[253  30]
 [ 89 274]]",1
p13,0.4658385093167702,0.43171806167400884,1.0,0.2752808988764045,0.9892948774661595,"[[127   0]
 [258  98]]",1
p14,0.8925750394944708,0.8612244897959185,0.7728937728937729,0.9723502304147466,0.9706110421836228,"[[354  62]
 [  6 211]]",1
p15,0.8124031007751938,0.8163884673748104,0.7005208333333334,0.9781818181818182,0.9676560196560196,"[[255 115]
 [  6 269]]",1
p16,0.8633540372670807,0.8422939068100357,0.9591836734693877,0.7507987220447284,0.9257646979334575,"[[321  10]
 [ 78 235]]",1
p17,0.6676737160120846,0.45,0.3225806451612903,0.743801652892562,0.7630879454942637,"[[352 189]
 [ 31  90]]",1
p18,0.7226502311248074,0.7337278106508875,0.6526315789473685,0.8378378378378378,0.7334717862338259,"[[221 132]
 [ 48 248]]",1
p19,0.7430769230769231,0.5373961218836566,0.8738738738738738,0.388,0.8455400000000001,"[[386  14]
 [153  97]]",1
p20,0.4478442280945758,0.430416068866571,0.5769230769230769,0.34324942791762014,0.4784150477952513,"[[172 110]
 [287 150]]",1
p21,0.45961820851688695,0.5501222493887531,0.7922535211267606,0.42134831460674155,0.5117200438227725,"[[ 88  59]
 [309 225]]",1
p22,0.5216783216783217,0.5169491525423728,0.7038461538461539,0.40848214285714285,0.5678880751738897,"[[190  77]
 [265 183]]",1
p23,0.48153214774281805,0.6120777891504607,0.6089613034623218,0.6152263374485597,0.37127320063828,"[[ 53 192]
 [187 299]]",1
p24,0.5924426450742241,0.4645390070921986,0.4833948339483395,0.447098976109215,0.5988008898098488,"[[308 140]
 [162 131]]",1
p25,0.6772413793103448,0.6829268292682926,0.535031847133758,0.9438202247191011,0.8717024025644801,"[[239 219]
 [ 15 252]]",1
p26,0.6543909348441926,0.6657534246575343,0.5376106194690266,0.8741007194244604,0.7643800847172729,"[[219 209]
 [ 35 243]]",1
p27,0.5472972972972973,0.49624060150375937,0.5481727574750831,0.4532967032967033,0.6300524608370354,"[[240 136]
 [199 165]]",1
p28,0.4428969359331476,0.6131528046421664,1.0,0.4421199442119944,0.6513249651324965,"[[  1   0]
 [400 317]]",1
p29,0.35931307793923384,0.5076142131979695,0.37091988130563797,0.8038585209003215,0.3744034144161031,"[[ 22 424]
 [ 61 250]]",1
p30,0.5185185185185185,0.48458149779735676,0.5205047318611987,0.4532967032967033,0.5117793165738371,"[[213 152]
 [199 165]]",1
p31,0.36,0.31680440771349855,0.19896193771626297,0.777027027027027,0.5228835294624768,"[[164 463]
 [ 33 115]]",1
p2,0.6621823617339312,0.48636363636363633,0.5846994535519126,0.4163424124513619,0.5511880926296702,"[[336  76]
 [150 107]]",2
p3,0.7084690553745928,0.7409551374819102,0.6368159203980099,0.8858131487889274,0.7988235294117647,"[[179 146]
 [ 33 256]]",2
p4,0.3273905996758509,0.23290203327171904,0.1351931330472103,0.84,0.7862484624846249,"[[139 403]
 [ 12  63]]",2
p5,0.39652448657187994,0.34137931034482755,0.9705882352941176,0.20711297071129708,0.7866648670535835,"[[152   3]
 [379  99]]",2
p6,0.6932707355242567,0.6848874598070739,0.6805111821086262,0.6893203883495146,0.7057664018829068,"[[230 100]
 [ 96 213]]",2
p7,0.5202898550724637,0.12664907651715038,0.06896551724137931,0.7741935483870968,0.7028733662930149,"[[335 324]
 [  7  24]]",2
p8,0.7147239263803681,0.5772727272727273,0.635,0.5291666666666667,0.8232301779935276,"[[339  73]
 [113 127]]",2
p9,0.5945121951219512,0.21301775147928992,0.33962264150943394,0.15517241379310345,0.6993839459986987,"[[354  70]
 [196  36]]",2
p10,0.7758346581875993,0.7772511848341233,0.9800796812749004,0.643979057591623,0.8304470398711237,"[[242   5]
 [136 246]]",2
p11,0.7838258164852255,0.4326530612244898,0.3271604938271605,0.6385542168674698,0.8164586919104991,"[[451 109]
 [ 30  53]]",2
p12,0.8157894736842105,0.8215892053973013,0.9013157894736842,0.7548209366391184,0.8457008244994111,"[[253  30]
 [ 89 274]]",2
p13,0.4658385093167702,0.43171806167400884,1.0,0.2752808988764045,0.9892948774661595,"[[127   0]
 [258  98]]",2
p14,0.8925750394944708,0.8612244897959185,0.7728937728937729,0.9723502304147466,0.9706110421836228,"[[354  62]
 [  6 211]]",2
p15,0.8124031007751938,0.8163884673748104,0.7005208333333334,0.9781818181818182,0.9676560196560196,"[[255 115]
 [  6 269]]",2
p16,0.8633540372670807,0.8422939068100357,0.9591836734693877,0.7507987220447284,0.9257646979334575,"[[321  10]
 [ 78 235]]",2
p17,0.6676737160120846,0.45,0.3225806451612903,0.743801652892562,0.7630879454942637,"[[352 189]
 [ 31  90]]",2
p18,0.7226502311248074,0.7337278106508875,0.6526315789473685,0.8378378378378378,0.7334717862338259,"[[221 132]
 [ 48 248]]",2
p19,0.7430769230769231,0.5373961218836566,0.8738738738738738,0.388,0.8455400000000001,"[[386  14]
 [153  97]]",2
p20,0.4478442280945758,0.430416068866571,0.5769230769230769,0.34324942791762014,0.4784150477952513,"[[172 110]
 [287 150]]",2
p21,0.45961820851688695,0.5501222493887531,0.7922535211267606,0.42134831460674155,0.5117200438227725,"[[ 88  59]
 [309 225]]",2
p22,0.5216783216783217,0.5169491525423728,0.7038461538461539,0.40848214285714285,0.5678880751738897,"[[190  77]
 [265 183]]",2
p23,0.48153214774281805,0.6120777891504607,0.6089613034623218,0.6152263374485597,0.37127320063828,"[[ 53 192]
 [187 299]]",2
p24,0.5924426450742241,0.4645390070921986,0.4833948339483395,0.447098976109215,0.5988008898098488,"[[308 140]
 [162 131]]",2
p25,0.6772413793103448,0.6829268292682926,0.535031847133758,0.9438202247191011,0.8717024025644801,"[[239 219]
 [ 15 252]]",2
p26,0.6543909348441926,0.6657534246575343,0.5376106194690266,0.8741007194244604,0.7643800847172729,"[[219 209]
 [ 35 243]]",2
p27,0.5472972972972973,0.49624060150375937,0.5481727574750831,0.4532967032967033,0.6300524608370354,"[[240 136]
 [199 165]]",2
p28,0.4428969359331476,0.6131528046421664,1.0,0.4421199442119944,0.6513249651324965,"[[  1   0]
 [400 317]]",2
p29,0.35931307793923384,0.5076142131979695,0.37091988130563797,0.8038585209003215,0.3744034144161031,"[[ 22 424]
 [ 61 250]]",2
p30,0.5185185185185185,0.48458149779735676,0.5205047318611987,0.4532967032967033,0.5117793165738371,"[[213 152]
 [199 165]]",2
p31,0.36,0.31680440771349855,0.19896193771626297,0.777027027027027,0.5228835294624768,"[[164 463]
 [ 33 115]]",2
p2,0.6621823617339312,0.48636363636363633,0.5846994535519126,0.4163424124513619,0.5511880926296702,"[[336  76]
 [150 107]]",3
p3,0.7084690553745928,0.7409551374819102,0.6368159203980099,0.8858131487889274,0.7988235294117647,"[[179 146]
 [ 33 256]]",3
p4,0.3273905996758509,0.23290203327171904,0.1351931330472103,0.84,0.7862484624846249,"[[139 403]
 [ 12  63]]",3
p5,0.39652448657187994,0.34137931034482755,0.9705882352941176,0.20711297071129708,0.7866648670535835,"[[152   3]
 [379  99]]",3
p6,0.6932707355242567,0.6848874598070739,0.6805111821086262,0.6893203883495146,0.7057664018829068,"[[230 100]
 [ 96 213]]",3
p7,0.5202898550724637,0.12664907651715038,0.06896551724137931,0.7741935483870968,0.7028733662930149,"[[335 324]
 [  7  24]]",3
p8,0.7147239263803681,0.5772727272727273,0.635,0.5291666666666667,0.8232301779935276,"[[339  73]
 [113 127]]",3
p9,0.5945121951219512,0.21301775147928992,0.33962264150943394,0.15517241379310345,0.6993839459986987,"[[354  70]
 [196  36]]",3
p10,0.7758346581875993,0.7772511848341233,0.9800796812749004,0.643979057591623,0.8304470398711237,"[[242   5]
 [136 246]]",3
p11,0.7838258164852255,0.4326530612244898,0.3271604938271605,0.6385542168674698,0.8164586919104991,"[[451 109]
 [ 30  53]]",3
p12,0.8157894736842105,0.8215892053973013,0.9013157894736842,0.7548209366391184,0.8457008244994111,"[[253  30]
 [ 89 274]]",3
p13,0.4658385093167702,0.43171806167400884,1.0,0.2752808988764045,0.9892948774661595,"[[127   0]
 [258  98]]",3
p14,0.8925750394944708,0.8612244897959185,0.7728937728937729,0.9723502304147466,0.9706110421836228,"[[354  62]
 [  6 211]]",3
p15,0.8124031007751938,0.8163884673748104,0.7005208333333334,0.9781818181818182,0.9676560196560196,"[[255 115]
 [  6 269]]",3
p16,0.8633540372670807,0.8422939068100357,0.9591836734693877,0.7507987220447284,0.9257646979334575,"[[321  10]
 [ 78 235]]",3
p17,0.6676737160120846,0.45,0.3225806451612903,0.743801652892562,0.7630879454942637,"[[352 189]
 [ 31  90]]",3
p18,0.7226502311248074,0.7337278106508875,0.6526315789473685,0.8378378378378378,0.7334717862338259,"[[221 132]
 [ 48 248]]",3
p19,0.7430769230769231,0.5373961218836566,0.8738738738738738,0.388,0.8455400000000001,"[[386  14]
 [153  97]]",3
p20,0.4478442280945758,0.430416068866571,0.5769230769230769,0.34324942791762014,0.4784150477952513,"[[172 110]
 [287 150]]",3
p21,0.45961820851688695,0.5501222493887531,0.7922535211267606,0.42134831460674155,0.5117200438227725,"[[ 88  59]
 [309 225]]",3
p22,0.5216783216783217,0.5169491525423728,0.7038461538461539,0.40848214285714285,0.5678880751738897,"[[190  77]
 [265 183]]",3
p23,0.48153214774281805,0.6120777891504607,0.6089613034623218,0.6152263374485597,0.37127320063828,"[[ 53 192]
 [187 299]]",3
p24,0.5924426450742241,0.4645390070921986,0.4833948339483395,0.447098976109215,0.5988008898098488,"[[308 140]
 [162 131]]",3
p25,0.6772413793103448,0.6829268292682926,0.535031847133758,0.9438202247191011,0.8717024025644801,"[[239 219]
 [ 15 252]]",3
p26,0.6543909348441926,0.6657534246575343,0.5376106194690266,0.8741007194244604,0.7643800847172729,"[[219 209]
 [ 35 243]]",3
p27,0.5472972972972973,0.49624060150375937,0.5481727574750831,0.4532967032967033,0.6300524608370354,"[[240 136]
 [199 165]]",3
p28,0.4428969359331476,0.6131528046421664,1.0,0.4421199442119944,0.6513249651324965,"[[  1   0]
 [400 317]]",3
p29,0.35931307793923384,0.5076142131979695,0.37091988130563797,0.8038585209003215,0.3744034144161031,"[[ 22 424]
 [ 61 250]]",3
p30,0.5185185185185185,0.48458149779735676,0.5205047318611987,0.4532967032967033,0.5117793165738371,"[[213 152]
 [199 165]]",3
p31,0.36,0.31680440771349855,0.19896193771626297,0.777027027027027,0.5228835294624768,"[[164 463]
 [ 33 115]]",3
p2,0.6621823617339312,0.48636363636363633,0.5846994535519126,0.4163424124513619,0.5511880926296702,"[[336  76]
 [150 107]]",4
p3,0.7084690553745928,0.7409551374819102,0.6368159203980099,0.8858131487889274,0.7988235294117647,"[[179 146]
 [ 33 256]]",4
p4,0.3273905996758509,0.23290203327171904,0.1351931330472103,0.84,0.7862484624846249,"[[139 403]
 [ 12  63]]",4
p5,0.39652448657187994,0.34137931034482755,0.9705882352941176,0.20711297071129708,0.7866648670535835,"[[152   3]
 [379  99]]",4
p6,0.6932707355242567,0.6848874598070739,0.6805111821086262,0.6893203883495146,0.7057664018829068,"[[230 100]
 [ 96 213]]",4
p7,0.5202898550724637,0.12664907651715038,0.06896551724137931,0.7741935483870968,0.7028733662930149,"[[335 324]
 [  7  24]]",4
p8,0.7147239263803681,0.5772727272727273,0.635,0.5291666666666667,0.8232301779935276,"[[339  73]
 [113 127]]",4
p9,0.5945121951219512,0.21301775147928992,0.33962264150943394,0.15517241379310345,0.6993839459986987,"[[354  70]
 [196  36]]",4
p10,0.7758346581875993,0.7772511848341233,0.9800796812749004,0.643979057591623,0.8304470398711237,"[[242   5]
 [136 246]]",4
p11,0.7838258164852255,0.4326530612244898,0.3271604938271605,0.6385542168674698,0.8164586919104991,"[[451 109]
 [ 30  53]]",4
p12,0.8157894736842105,0.8215892053973013,0.9013157894736842,0.7548209366391184,0.8457008244994111,"[[253  30]
 [ 89 274]]",4
p13,0.4658385093167702,0.43171806167400884,1.0,0.2752808988764045,0.9892948774661595,"[[127   0]
 [258  98]]",4
p14,0.8925750394944708,0.8612244897959185,0.7728937728937729,0.9723502304147466,0.9706110421836228,"[[354  62]
 [  6 211]]",4
p15,0.8124031007751938,0.8163884673748104,0.7005208333333334,0.9781818181818182,0.9676560196560196,"[[255 115]
 [  6 269]]",4
p16,0.8633540372670807,0.8422939068100357,0.9591836734693877,0.7507987220447284,0.9257646979334575,"[[321  10]
 [ 78 235]]",4
p17,0.6676737160120846,0.45,0.3225806451612903,0.743801652892562,0.7630879454942637,"[[352 189]
 [ 31  90]]",4
p18,0.7226502311248074,0.7337278106508875,0.6526315789473685,0.8378378378378378,0.7334717862338259,"[[221 132]
 [ 48 248]]",4
p19,0.7430769230769231,0.5373961218836566,0.8738738738738738,0.388,0.8455400000000001,"[[386  14]
 [153  97]]",4
p20,0.4478442280945758,0.430416068866571,0.5769230769230769,0.34324942791762014,0.4784150477952513,"[[172 110]
 [287 150]]",4
p21,0.45961820851688695,0.5501222493887531,0.7922535211267606,0.42134831460674155,0.5117200438227725,"[[ 88  59]
 [309 225]]",4
p22,0.5216783216783217,0.5169491525423728,0.7038461538461539,0.40848214285714285,0.5678880751738897,"[[190  77]
 [265 183]]",4
p23,0.48153214774281805,0.6120777891504607,0.6089613034623218,0.6152263374485597,0.37127320063828,"[[ 53 192]
 [187 299]]",4
p24,0.5924426450742241,0.4645390070921986,0.4833948339483395,0.447098976109215,0.5988008898098488,"[[308 140]
 [162 131]]",4
p25,0.6772413793103448,0.6829268292682926,0.535031847133758,0.9438202247191011,0.8717024025644801,"[[239 219]
 [ 15 252]]",4
p26,0.6543909348441926,0.6657534246575343,0.5376106194690266,0.8741007194244604,0.7643800847172729,"[[219 209]
 [ 35 243]]",4
p27,0.5472972972972973,0.49624060150375937,0.5481727574750831,0.4532967032967033,0.6300524608370354,"[[240 136]
 [199 165]]",4
p28,0.4428969359331476,0.6131528046421664,1.0,0.4421199442119944,0.6513249651324965,"[[  1   0]
 [400 317]]",4
p29,0.35931307793923384,0.5076142131979695,0.37091988130563797,0.8038585209003215,0.3744034144161031,"[[ 22 424]
 [ 61 250]]",4
p30,0.5185185185185185,0.48458149779735676,0.5205047318611987,0.4532967032967033,0.5117793165738371,"[[213 152]
 [199 165]]",4
p31,0.36,0.31680440771349855,0.19896193771626297,0.777027027027027,0.5228835294624768,"[[164 463]
 [ 33 115]]",4
